sku,series,brand,pdf_name,manual_type,pdf_location
AL45CLX,,Modern Flames,Manual-AL-CLX-2.pdf,,Modern Flames/Manual-AL-CLX-2.pdf
AL60CLX,,Modern Flames,Manual-AL-CLX-2.pdf,,Modern Flames/Manual-AL-CLX-2.pdf
AL80CLX,,Modern Flames,Manual-AL-CLX-2.pdf,,Modern Flames/Manual-AL-CLX-2.pdf
AL100CLX,,Modern Flames,Manual-AL-CLX-2.pdf,,Modern Flames/Manual-AL-CLX-2.pdf
AL144CLX,,Modern Flames,Manual-AL-CLX-2.pdf,,Modern Flames/Manual-AL-CLX-2.pdf
LFV2-40/15-SH,,Modern Flames,Manual-Landscape-GEN2-Rev2_singles.pdf,,Modern Flames/Manual-Landscape-GEN2-Rev2_singles.pdf
LFV2-60/15-SH,,Modern Flames,Manual-Landscape-GEN2-Rev2_singles.pdf,,Modern Flames/Manual-Landscape-GEN2-Rev2_singles.pdf
LFV2-80/15-SH,,Modern Flames,Manual-Landscape-GEN2-Rev2_singles.pdf,,Modern Flames/Manual-Landscape-GEN2-Rev2_singles.pdf
LFV2-100/15-SH,,Modern Flames,Manual-Landscape-GEN2-Rev2_singles.pdf,,Modern Flames/Manual-Landscape-GEN2-Rev2_singles.pdf
LFV2-120/15-SH,,Modern Flames,Manual-Landscape-GEN2-Rev2_singles.pdf,,Modern Flames/Manual-Landscape-GEN2-Rev2_singles.pdf
HF36CBI,,Modern Flames,Manual-Homefire_REV3.1_single.pdf,,Modern Flames/Manual-Homefire_REV3.1_single.pdf
HF42CBI,,Modern Flames,Manual-Homefire_REV3.1_single.pdf,,Modern Flames/Manual-Homefire_REV3.1_single.pdf
HF60CBI,,Modern Flames,Manual-Homefire_REV3.1_single.pdf,,Modern Flames/Manual-Homefire_REV3.1_single.pdf
LPM-4416/INT,,Modern Flames,Manual-Landscape-Pro-Multiview.pdf,,Modern Flames/Manual-Landscape-Pro-Multiview.pdf
LPM-5616/INT,,Modern Flames,Manual-Landscape-Pro-Multiview.pdf,,Modern Flames/Manual-Landscape-Pro-Multiview.pdf
LPM-6816/INT,,Modern Flames,Manual-Landscape-Pro-Multiview.pdf,,Modern Flames/Manual-Landscape-Pro-Multiview.pdf
LPM-8016/INT,,Modern Flames,Manual-Landscape-Pro-Multiview.pdf,,Modern Flames/Manual-Landscape-Pro-Multiview.pdf
LPM-9616/INT,,Modern Flames,Manual-Landscape-Pro-Multiview.pdf,,Modern Flames/Manual-Landscape-Pro-Multiview.pdf
SPS-50B,,Modern Flames,Manual - Slimline.pdf,,Modern Flames/Manual - Slimline.pdf
SPS-60B,,Modern Flames,Manual - Slimline.pdf,,Modern Flames/Manual - Slimline.pdf
SPS-74B,,Modern Flames,Manual - Slimline.pdf,,Modern Flames/Manual - Slimline.pdf
SPS-100B,,Modern Flames,Manual - Slimline.pdf,,Modern Flames/Manual - Slimline.pdf
ZCR2,,Modern Flames,Manual-ZCR-2_singles.pdf,,Modern Flames/Manual-ZCR-2_singles.pdf
ZCR3,,Modern Flames,Manual-Insert-Fire.pdf,,Modern Flames/Manual-Insert-Fire.pdf
ELI-BATTERY,,Modern Flames,Manual-Lithium-Battery-singles.pdf,,Modern Flames/Manual-Lithium-Battery-singles.pdf
NOVA60,,Modern Flames,Manual-Nova.pdf,,Modern Flames/Manual-Nova.pdf
SC36-B,,Modern Flames,Manual-Spectrum-REV2-single.pdf,,Modern Flames/Manual-Spectrum-REV2-single.pdf
SC50-B,,Modern Flames,Manual-Spectrum-REV2-single.pdf,,Modern Flames/Manual-Spectrum-REV2-single.pdf
SC74-B,,Modern Flames,Manual-Spectrum-REV2-single.pdf,,Modern Flames/Manual-Spectrum-REV2-single.pdf
SCO-26EL,,Modern Flames,Manual-Sunset-Charred-Oak-singles-rev-3.pdf,,Modern Flames/Manual-Sunset-Charred-Oak-singles-rev-3.pdf
SCO-20EL,,Modern Flames,Manual-Sunset-Charred-Oak-singles-rev-3.pdf,,Modern Flames/Manual-Sunset-Charred-Oak-singles-rev-3.pdf
