ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf)
ascent-x-70-gx70nte-electronic-direct-vent-natural-gas-fireplace,Napoleon,Gas Fireplaces,GX70NTE-1,GX70,Ascent X,pdf/gx70nte-1.pdf,gx70nte-1
dimplex-30-revillusion-built-in-electric-firebox-rbf30wc,Dimplex,Electric Fireplaces,RBF30WC,,Revillusion,pdf/rbf30wc.pdf,rbf30wc
dimplex-33-multi-fire-xd-electric-firebox-pf3033hg,Dimplex,Electric Fireplaces,PF3033HG,,Multi-Fire XD,pdf/pf3033hg.pdf,pf3033hg
dimplex-ignitexl-100-inch-wall-mounted-electric-fireplace-xlf100,Dimplex,Electric Fireplaces,XLF100,,IgniteXL,pdf/xlf100.pdf,xlf100
dimplex-ignitexl-50-inch-wall-mount-linear-electric-fireplace-xlf50,Dimplex,Electric Fireplaces,XLF50,,IgniteXL,pdf/xlf50.pdf,xlf50
dimplex-ignitexl-60-inch-wall-mount-linear-electric-fireplace-xlf60,Dimplex,Electric Fireplaces,XLF60,,IgniteXL,pdf/xlf60.pdf,xlf60
dimplex-ignitexl-74-inch-wall-mount-linear-electric-fireplace-xlf74,Dimplex,Electric Fireplaces,XLF74,,IgniteXL,pdf/xlf74.pdf,xlf74
dimplex-opti-myst-pro-1000-built-in-electric-cassette-cdfi1000-pro,Dimplex,Electric Fireplaces,CDFI1000-PRO,,Opti-Myst Pro,pdf/cdfi1000-pro.pdf,cdfi1000-pro
dimplex-opti-myst-pro-1000-built-in-electric-firebox-gbf1000-pro,Dimplex,Electric Fireplaces,GBF1000-PRO,,Opti-Myst Pro,pdf/gbf1000-pro.pdf,gbf1000-pro
dimplex-opti-myst-pro-1500-built-in-electric-firebox-gbf1500-pro,Dimplex,Electric Fireplaces,GBF1500-PRO,,Opti-Myst Pro,pdf/gbf1500-pro.pdf,gbf1500-pro
dimplex-opti-myst-pro-500-built-in-electric-cassette-cdfi500-pro,Dimplex,Electric Fireplaces,CDFI500-PRO,,Opti-Myst Pro,pdf/cdfi500-pro.pdf,cdfi500-pro
dimplex-opti-v-duet-electric-fireplace-vf5452l,Dimplex,Electric Fireplaces,VF5452L,,Opti-V,pdf/vf5452l.pdf,vf5452l
dimplex-opti-v-solo-electric-fireplace-vf2927l,Dimplex,Electric Fireplaces,VF2927L,,Opti-V,pdf/vf2927l.pdf,vf2927l
dimplex-prism-34-inch-wall-mounted-electric-fireplace-blf3451,Dimplex,Electric Fireplaces,BLF3451,,Prism,pdf/blf3451.pdf,blf3451
dimplex-prism-50-inch-wall-mounted-electric-fireplace-blf5051,Dimplex,Electric Fireplaces,BLF5051,,Prism,pdf/blf5051.pdf,blf5051
dimplex-prism-74-inch-wall-mounted-electric-fireplace-blf7451,Dimplex,Electric Fireplaces,BLF7451,,Prism,pdf/blf7451.pdf,blf7451
dimplex-synergy-50-inch-wall-mounted-electric-fireplace-blf50,Dimplex,Electric Fireplaces,BLF50,,Synergy,pdf/blf50.pdf,blf50
empire-boulevard-36-direct-vent-linear-gas-fireplace-dvll36bp92,Empire,Gas Fireplaces,DVLL36BP92N,DVLL36,Boulevard,pdf/dvll36bp92n.pdf,dvll36bp92n
empire-boulevard-36-linear-vent-free-gas-fireplace-vflb36fp,Empire,Gas Fireplaces,VFLB36FP30N,VFLB36,Boulevard,pdf/vflb36fp30n.pdf,vflb36fp30n
empire-boulevard-41-direct-vent-contemporary-linear-gas-fireplace-dvll41,Empire,Gas Fireplaces,DVLL41FP92N,DVLL41,Boulevard,pdf/dvll41fp92n.pdf,dvll41fp92n
empire-boulevard-41-direct-vent-traditional-linear-gas-fireplace-dvtl41,Empire,Gas Fireplaces,DVTL41BP90N,DVTL41,Boulevard,pdf/dvtl41bp90n.pdf,dvtl41bp90n
empire-boulevard-48-direct-vent-linear-gas-fireplace-dvll48bp92,Empire,Gas Fireplaces,DVLL48BP92N,DVLL48,Boulevard,pdf/dvll48bp92n.pdf,dvll48bp92n
