ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf),matched_manual
dimplex-opti-myst-pro-1000-built-in-electric-firebox-gbf1000-pro,Dimplex,Electric Fireplaces,GBF1000-PRO,,Opti-Myst Pro,pdf/gbf1000-pro.pdf,gbf1000-pro,Dimplex/CDFI_Owners_Manual_7214300200R03.pdf
dimplex-synergy-50-inch-wall-mounted-electric-fireplace-blf50,Dimplex,Electric Fireplaces,BLF50,,Synergy,pdf/blf50.pdf,blf50,Dimplex/XLF100_Dimplex.pdf
dimplex-opti-myst-pro-1500-built-in-electric-firebox-gbf1500-pro,Dimplex,Electric Fireplaces,GBF1500-PRO,,Opti-Myst Pro,pdf/gbf1500-pro.pdf,gbf1500-pro,Dimplex/CDFI_Owners_Manual_7214300200R03.pdf
empire-rushmore-30-direct-vent-gas-insert-dvct30cbn95,Empire,Gas Inserts,DVCT30CBN95N,DVCT30,Rushmore,pdf/dvct30cbn95n.pdf,dvct30cbn95n,Empire/DVCT3035CBN-1.pdf
majestic-jasper-30-direct-vent-gas-insert-jasper30in,Majestic,Gas Inserts,JASPER30IN,JASPER30IN,Jasper,pdf/jasper30in.pdf,jasper30in,Majestic/JASPER30IN.pdf
dimplex-opti-myst-pro-500-built-in-electric-cassette-cdfi500-pro,Dimplex,Electric Fireplaces,CDFI500-PRO,,Opti-Myst Pro,pdf/cdfi500-pro.pdf,cdfi500-pro,Dimplex/CDFI_Owners_Manual_7214300200R03.pdf
empire-boulevard-48-linear-ventless-gas-fireplace-vflb48fp,Empire,Gas Fireplaces,VFLB48FP30N,VFLB48,Boulevard,pdf/vflb48fp30n.pdf,vflb48fp30n,Empire/VFLB3648FP390NP-1-Installer-Copy-1.pdf
empire-rushmore-35-direct-vent-gas-insert-dvct35cbn95,Empire,Gas Inserts,DVCT35CBN95N,DVCT35,Rushmore,pdf/dvct35cbn95n.pdf,dvct35cbn95n,Empire/DVCT3035CBN-1.pdf
empire-carol-rose-coastal-outdoor-loft-vent-free-gas-burners-oli24-oli30,Empire,Outdoor Gas Fireplaces,OLI24N,OLI24,Carol Rose,pdf/oli24n.pdf,oli24n,Empire/VFL28IN-Loft-Series-VF-Insert.pdf
empire-boulevard-slim-30-linear-vent-free-gas-fireplace-vfsl30fp,Empire,Gas Fireplaces,VFSL30FP7010N,VFSL30,Boulevard Slim,pdf/vfsl30fp7010n.pdf,vfsl30fp7010n,Empire/VFSL30FP-Boulevard-SL-VF-Linear-Fireplace.pdf
empire-tahoe-luxury-42-clean-face-direct-vent-gas-fireplace-dvcx42fp,Empire,Gas Fireplaces,DVCX42FP30N,DVCX42,Tahoe,pdf/dvcx42fp30n.pdf,dvcx42fp30n,Empire/DVCD323642FP3701NP-4-Homeowners.pdf
majestic-echelon-48-driftwood-log-set,Majestic,Media Kits,LOGS-DRTWOOD-48,,Echelon,pdf/logs-drtwood-48.pdf,logs-drtwood-48,"Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
empire-forest-hills-27-portrait-style-contemporary-direct-vent-gas-fireplace-dvll27,Empire,Gas Fireplaces,DVLL27FP92N,DVLL27,Forest Hills,pdf/dvll27fp92n.pdf,dvll27fp92n,Empire/DVLL27FP-Forest-Hills-Portrait-Contemporary-Fireplace.pdf
majestic-courtyard-42-standard-log-set-with-grate-sdlogs-odcoug,Majestic,Media Kits,"SDLOGS-ODCOUG, GR-ODCOUG",,Courtyard,"pdf/sdlogs-odcoug, gr-odcoug.pdf","sdlogs-odcoug, gr-odcoug","Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
empire-boulevard-36-direct-vent-linear-gas-fireplace-dvll36bp92,Empire,Gas Fireplaces,DVLL36BP92N,DVLL36,Boulevard,pdf/dvll36bp92n.pdf,dvll36bp92n,Empire/DVLL36BP92NP-1 DVLL48BP92NP-2 40375-0-0519-Installer.pdf
empire-keystone-deluxe-36-b-vent-gas-fireplace-bvd36fp,Empire,Gas Fireplaces,BVD36FP30FN,BVD36,Keystone,pdf/bvd36fp30fn.pdf,bvd36fp30fn,Empire/DVD42FP-Tahoe-Deluxe-Fireplace.pdf
majestic-biltmore-36-radiant-wood-burning-fireplace-sb60,Majestic,Wood Fireplaces,SB60,,Biltmore,pdf/sb60.pdf,sb60,"Majestic/SB60,80 HB - BILTMORE - INSTALLATION.pdf"
majestic-18-fireside-supreme-oak-gas-log-set-for-see-through-fireplace-stfso18,Majestic,Gas Log Sets,STFSO18,STFSO18,Fireside Supreme Oak,pdf/stfso18.pdf,stfso18,"Majestic/SB60,80 HB - BILTMORE - INSTALLATION.pdf"
majestic-lanai-outdoor-linear-fireplace-odlanaig-51,Majestic,Outdoor Gas Fireplaces,ODLANAIG-51,,Lanai,pdf/odlanaig-51.pdf,odlanaig-51,"Majestic/MERIDPLA36,42 - MERIDIAN PLATINUM.pdf"
empire-tahoe-deluxe-32-direct-vent-gas-fireplace-dvd32fp,Empire,Gas Fireplaces,DVD32FP30N,DVD32,Tahoe,pdf/dvd32fp30n.pdf,dvd32fp30n,Empire/DVD42FP-Tahoe-Deluxe-Fireplace.pdf
dimplex-opti-v-duet-electric-fireplace-vf5452l,Dimplex,Electric Fireplaces,VF5452L,,Opti-V,pdf/vf5452l.pdf,vf5452l,Dimplex/7213460100R05_EN.pdf
empire-vail-premium-32-alope-glaze-burner-vent-free-gas-fireplace-vfpa32,Empire,Gas Fireplaces,VFPA32BP30LN,VFPA32,Vail,pdf/vfpa32bp30ln.pdf,vfpa32bp30ln,Empire/VFPA32  VFPA36 39025-2-0620-VFPA3236BP3701LNP-2-Installer.pdf
majestic-24-fireside-supreme-oak-refractory-cement-log-set-fso24,Majestic,Media Kits,FSO24,FSO24,Fireside Supreme Oak,pdf/fso24.pdf,fso24,"Majestic/SA36C, SA42C - SOVERIGN - INSTALLATION.pdf"
empire-rushmore-36-direct-vent-gas-fireplace-dvct36cbp,Empire,Gas Fireplaces,DVCT36CBP95N,DVCT36,Rushmore,pdf/dvct36cbp95n.pdf,dvct36cbp95n,Empire/DVCT3640CBP95-Homeowner.pdf
majestic-standard-definition-log-set-sdlogs-odcoug,Majestic,Media Kits,SDLOGS-ODCOUG,SDLOGS,Standard Definition,pdf/sdlogs-odcoug.pdf,sdlogs-odcoug,"Majestic/LCOR,RCOR-DV36IN - INSTALLATION.pdf"
